fecha,promedio_319178_72380
2026-06-01,40.547364583333334
2026-06-02,40.526854166666666
2026-06-03,40.498333333333335
2026-06-04,40.50083680555556
2026-06-05,40.54194097222222
2026-06-06,40.557625
2026-06-07,40.545125
2026-06-08,40.541756944444444
2026-06-09,40.51697916666667
2026-06-10,40.48551736111111
2026-06-11,40.450500000000005
2026-06-12,40.41992361111111
2026-06-13,40.38141666666667
2026-06-14,40.33310763888889
2026-06-15,40.28105902777778
2026-06-16,40.22489895470383
2026-06-17,40.167288194444446
2026-06-18,40.108965277777784
2026-06-19,40.04936111111111
2026-06-20,39.989152777777775
2026-06-21,39.928381944444446
2026-06-22,39.87300694444445
2026-06-23,39.81485416666666
2026-06-24,39.75755208333334
2026-06-25,39.699284722222224
2026-06-26,39.635947916666666
2026-06-27,39.58117013888889
2026-06-28,39.53070833333334
2026-06-29,39.478770833333336
2026-06-30,39.460062717770036
2026-07-01,39.4126334519573
2026-07-02,39.35221875
2026-07-03,39.289
2026-07-04,39.228624999999994
2026-07-05,39.16415972222222
2026-07-06,39.09306597222222
2026-07-07,39.07909027777778
2026-07-08,39.26042013888889
2026-07-09,39.30734722222222
2026-07-10,39.271267361111114
2026-07-11,39.20970833333334
2026-07-12,39.13876388888889
2026-07-13,39.06491319444444
2026-07-14,38.98832291666666
2026-07-15,38.910201388888886
2026-07-16,38.834947916666664
2026-07-17,38.75698611111111
2026-07-18,38.67563888888889
2026-07-19,38.59186805555556
2026-07-20,38.503878472222226
2026-07-21,38.42687847222223
2026-07-22,38.36131944444444
2026-07-23,38.32065277777778
2026-07-24,38.26845833333333
2026-07-25,38.18896527777778
2026-07-26,38.10742361111111
2026-07-27,38.014170138888886
2026-07-28,37.919232638888886
2026-07-29,37.822562500000004
2026-07-30,37.726052083333336
2026-07-31,37.63115972222223
2026-08-01,37.54691666666667
2026-08-02,37.47722569444444
2026-08-03,37.41132638888889
2026-08-04,37.339385416666666
2026-08-05,37.33281597222222
2026-08-06,37.29296180555556
2026-08-07,37.23945833333333
2026-08-08,37.18695138888889
2026-08-09,37.134909722222226
2026-08-10,37.07935416666667
2026-08-11,37.054541666666665
2026-08-12,37.25284375
2026-08-13,37.44138541666666
2026-08-14,37.4703125
2026-08-15,37.45492013888889
2026-08-16,37.411409722222224
2026-08-17,37.348024305555555
2026-08-18,37.28132291666667
2026-08-19,37.21726388888889
2026-08-20,37.16509027777778
2026-08-21,37.10534375
2026-08-22,37.052781249999995
2026-08-23,36.99572916666667
2026-08-24,36.94350347222222
2026-08-25,36.92864930555555
2026-08-26,36.895795138888886
2026-08-27,36.847649305555564
2026-08-28,36.790989583333335
2026-08-29,36.72637847222222
2026-08-30,36.69855555555555
2026-08-31,36.76505208333333
2026-09-01,37.92372569444444
2026-09-02,38.606038194444444
2026-09-03,38.71695833333334
2026-09-04,38.688335227272724
2026-09-05,38.616020408163266
2026-09-06,38.54387878787879
2026-09-07,38.47135051546392
2026-09-08,38.54677319587629
2026-09-09,38.67212121212121
2026-09-10,38.75753535353535
2026-09-11,38.837721649484536
2026-09-12,38.8069292929293
2026-09-13,38.777343434343436
2026-09-14,38.80832291666667
2026-09-15,38.87403030303031
2026-09-16,38.952303030303035
2026-09-17,39.87431958762887
2026-09-18,40.360846938775516
2026-09-19,40.4429696969697
2026-09-20,40.436346938775515
